Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Vida de Rico,Vida de Rico,Camilo,9/21/2020,USSD12000388,767,55.4,"568,823,269","54,968","26,455,856",64,"1,094,129,734","7,637,000","1,913,634","77,602,054","835,046,287","149,145,491",112,"45,003",73,24,"135,286",39,"21,813,224","14,722",,"1,819,660",,0
Fr��gil (feat. Grupo Front,Fr��gil (feat. Grupo Front,Yahritza Y Su Esencia,4/7/2023,USQX92302369,765,55.4,"432,988,420","32,294","28,454,994",67,"194,658,217","1,261,625","633,28","45,475,847","750,998,497","9,725,361",35,"22,768",31,14,"1,229,279",25,"33,073,012","10,83",,"1,407,776",,0
In My Feelings,Scorpion,Drake,6/29/2018,USCM51800206,766,55.4,"1,389,607,643","179,82","36,937,605",68,"749,282,095","9,464,140","294,022","46,457,728","521,014,819","204,014,215",144,"18,15",396,65,"496,515",53,"344,214,850","668,75",,"7,188,287",,1
You Broke My Heart,For All The Dogs Scary Hours Edition,Drake,10/6/2023,USUG12309646,764,55.4,"123,522,254","26,849","21,166,663",,"21,213,402","365,281","2,214","572,15","3,432,405","1,827,340,338",25,"91,995",20,6,"159,003",33,"11,677,247","5,338","5,254,476","814,161",,1
Attention,Attention,Charlie Puth,4/20/2017,USAT21700928,768,55.3,"1,800,254,516","162,682","40,159,047",75,"1,875,529,996","14,529,538","391,214","96,491,219","759,021,013","1,775,438,219",,"22,199",160,135,"792,329",40,"352,441,778","196,853",,,,0
Zhurek,Zhurek,Adam,10/6/2023,DGA0M2333309,770,55.3,"8,893,883","1,745","385,351",,"238,585,397","1,478,754","59,1","107,018","1,640,900","628,241,049",8,"4,579",,,,,,,,"3,415,610",,0
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,5/25/2018,USAT21802284,769,55.3,"1,709,991,997","187,053","79,925,766",80,"1,447,964,376","19,917,766","2,026,064","188,810,282","2,833,687,729","1,915,732,260",1,"1,563",132,41,"460,093",10,,,,,,0
In The End,In the End,Tommee Profitt,4/6/2018,TCADO1871408,771,55.2,"85,068,645","23,747","2,345,029",52,"1,615,682,416","16,097,448","7,610,004","421,716,078","6,274,917,849","104,330,417",11,96,6,3,"28,699",,"850,756","1,833",,"8,985,174",,0
Took Her To The O,Took Her To The O,King Von,2/21/2020,USUYG1296663,772,55.1,"497,832,707","156,669","13,464,335",74,"265,905,159","2,363,958","171,287","89,782,204","644,816,718","7,516,419",30,939,,2,"4,396",10,"33,625,448","44,231","86,394,034","1,146,823",,1
Boyfriend,Boyfriend,Dove Cameron,2/11/2022,USQX92200693,774,55.1,"637,836,235","96,878","50,739,981",68,"182,917,309","3,547,237","488,047","311,431,134","1,955,825,500","3,121,389,798",54,"241,487","2,099",38,"346,695",35,"54,288,683","24,559",,"2,178,227",,1
Orquestra Maldita,Orquestra Maldita,TRASHXRL,6/15/2023,SGW502301764,773,55.1,"119,445,482","16,844","15,941,203",14,"52,878,314","712,327","2,337,660","235,664,103","3,177,714,575",,1,,,,,,,,,,,1
Sucker,Sucker,Jonas Brothers,3/1/2019,USUG11900515,775,55,"1,411,856,834","128,28","42,394,972",73,"641,158,161","9,661,491","328,479","33,317,769","280,853,608","487,784,808",214,"499,13",814,176,"671,754",90,"281,820,508","190,779",,"6,948,452",,0
Alone,Alone,Marshmello,5/13/2016,CA6D21600147,776,55,"561,103,984","80,971","18,764,148",65,"3,130,843,590","32,799,797","524,156","50,668,664","462,245,126","454,361,203",48,"3,744",2,16,"66,45",17,"43,619,580","201,447",,"3,223,632",,0
Moto,Moto - Single,Diler Kharkiya,1/6/2020,INR731900731,778,54.9,,424,"60,155",,"706,716,815","3,418,527","10,000,000","79,580,452","1,357,260,180",,,,,,,,,,,,,0
Pareja Del A�,Pareja Del A�,Sebastian Yatra,4/16/2021,USUM72104664,779,54.9,"817,933,263","104,636","31,495,621",70,"658,407,296","4,541,248","877,7","82,923,244","870,762,842","136,526,601",105,"51,363",244,36,"1,953,756",46,"41,931,285","7,638",,"2,894,166",,0
PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,10/20/2022,QZNMX2257577,777,54.9,"193,109,326","76,047","4,765,141",8,"64,413,388","1,143,541","238,183","174,951,046","1,526,856,459","210,031,126",17,"40,11","2,704",4,"479,325",1,"7,692,981","6,306","23,495,613","2,304,354",,1
GOOBA,GOOBA,6ix9ine,5/8/2020,QZA742002191,780,54.8,"472,027,271","97,766","8,876,147",2,"1,012,949,756","14,257,151","2,295,814","448,572,991","4,846,286,370","155,050,116",22,120,57,10,"24,148",3,"11,693,239","76,976",,"2,224,515",,1
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12305004,781,54.8,"997,536,616","5,268","1,949,130",1,,,,,,,48,"301,028",,2,"18,375",2,,,,,,0
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401989,790,54.7,"66,101,468","3,693","9,878,576",84,"4,252,419","117,031",180,"1,800,000","11,200,000","934,654",45,195,16,5,"56,919",9,"184,455",248,"685,021","52,008",,0
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),5/17/2024,GBARL2400669,785,54.7,"4,505,404","1,248","19,427,406",64,,,,,,,2,25,,2,"34,694",31,,,"3,150,291","24,801",,1
Light Switch,Light Switch (Instrumental),Charlie Puth,1/19/2022,USAT22107359,782,54.7,"593,554,969","84,288","17,284,885",67,"284,499,511","3,909,648","506,518","475,880,505","4,729,678,365","3,277,338,062",98,"201,936",866,30,"685,471",48,"55,256,200","10,657","2,916,780","2,231,820",,0
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,5/1/2024,INS182401375,783,54.7,"1,852,457",79,"3,399,376",,"57,254,911","1,254,450",,,,,,91,,,,11,,,,"4,169",,0
On Me,On Me,Lil Baby,12/4/2020,USUG12004399,788,54.7,"368,017,246","105,732","15,129,396",67,"227,182,263","1,554,044","163,221","22,024,839","198,936,453","37,367,982",57,"178,634",372,9,"32,4",6,"141,610,948","45,141","53,891,709","1,728,476",,1
when the party's over,when the party's over,Billie Eilish,10/17/2018,USUM71815958,787,54.7,"1,845,938,685","186,633","79,124,996",79,"931,398,498","13,775,924","1,622,629","210,787,744","1,349,258,289","750,592,461",163,"24,691",55,62,"398,168",32,"139,323,553","150,239",,"5,811,377",,0
Love The Way You Lie,538 Hitzone 55,Eminem,1/1/2010,USUM71015397,784,54.7,"1,532,052,160","236,943","76,167,038",79,"3,009,144,927","15,864,764","208,118","23,435,916","223,136,013","254,272,987",84,"4,437",,67,"669,362",49,"800,108,842","1,358,251","1,991,336","10,011,625",,1
Party,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214885,789,54.7,"725,076,772","83,311","29,009,374",72,"296,661,885","2,150,658","705,8","287,983,296","3,014,389,754","22,621,115",51,"39,01",150,15,"1,934,966",19,"64,496,554","17,065",,"1,467,014",,0
Make You Mine,Make You Mine,Madison Beer,2/9/2024,USSM12400758,786,54.7,"127,909,006","13,354","49,984,859",,"26,653,465","788,713",,"12,674,158","295,301,300","191,049,109",78,"31,924",7,84,"9,231,885",42,"4,474,757","1,113",,"1,031,888",,0
Freaks,Freaks,Surf Curse,5/15/2021,USAT22102269,791,54.6,"1,089,328,286","200,016","33,498,182",77,"256,738,121","4,601,685",511,"265,535","2,110,692","4,098,036",25,"10,305",453,11,"10,105",25,"15,296,063","15,812",,"4,341,439",,0
In Da Getto,In Da Getto,J Balvin,7/2/2021,QZM5U2100095,792,54.6,"484,375,103","133,279","27,602,101",61,"218,975,838","3,159,820","1,920,220","452,069,335","6,219,918,723","90,132,395",131,"69,511",795,43,"354,884",58,"43,024,314","14,6",,"7,336,982",,0
Chale,Chale - Single,Eden Mu��,2/18/2022,MXB952200017,794,54.5,"414,104,069","33,044","18,247,093",67,"665,626,745","2,889,082","968,864","248,485,504","2,953,043,191","28,563,266",18,"17,222",361,4,"196,022",43,"40,508,092","7,944","2,525,726",,,0
Try That In A Small Town,Try That In A Small Town,Jason Aldean,5/19/2023,QMRSZ2300454,793,54.5,"66,418,201","20,547","1,758,957",37,"59,550,101","1,432,480",,,,"803,299,613",5,"174,811",46,1,"79,46",2,"106,455,054","62,007","1,370,492","264,899",,1
Tarot,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214881,796,54.3,"742,515,730","93,128","28,604,664",73,"275,203,830","1,499,544","940,02","241,093,278","2,486,183,983","22,246,842",39,"10,091",,4,"178,868",7,"36,599,355","3,147",,"959,597",,1
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,3/23/2023,SGB502340678,795,54.3,"24,963,236","5,624","1,097,527",48,"96,957,064","1,319,260","3,177,849","39,336,848","670,846,125","6,083,511",2,,,,,1,,,,"228,158",,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc�,2/9/2024,USSM12401303,798,54.3,"425,058,273","2,563","11,967,164",,"46,791,219","643,498",,,,"987,644,203",63,,,3,"35,655",,"13,815,433","36,2",,,,0
Petit g��,Petit g��,Jungeli,8/4/2023,QMBZ92393247,797,54.3,"159,181,956","29,011","10,943,796",74,"159,092,284","820,029","12,1","2,709,265","37,717,213","201,180,033",38,"29,97",,46,"20,176,323",46,,,,"3,454,084",,1
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,2/4/2023,ING642301070,801,54.2,"125,047",6,"44,905",14,"659,724,253","4,199,987",,,,"4,618,100",,2,,,,,,,,262,,0
���,Show - Single,Ado,9/6/2023,JPPO02302806,800,54.2,"114,381,380","15,725","4,390,255",67,"230,252,306","1,606,934","286,3","41,518,862","613,717,046","548,853,137",33,507,,1,"1,802",7,,,,"270,4",,0
Breaking the Habit,Papercuts,Linkin Park,4/12/2024,USWB12401898,802,54.2,"428,629,823",2,454,,,,,,,,,,,,,,,,,"1,649,113",,0
Work,ANTI (Deluxe),Rihanna,1/28/2016,QM5FT1600116,799,54.2,"1,399,521,364","144,823","46,076,265",73,"1,662,063,771","10,770,107","3,515","6,820,574","36,448,419","244,639,723",432,"3,418",104,135,"1,255,495",77,"603,707,599","736,551",,"8,814,930",,1
Normal,Normal,Feid,7/8/2022,USUM72211935,804,54.1,"724,772,954","76,821","31,039,211",76,"395,704,504","1,556,356","86,775","25,803,660","237,386,912","472,550,280",59,"28,567",239,22,"4,507,712",32,"9,638,456","2,516",,"956,99",,1
LALALALA,ROCK-STAR,Stray Kids,11/10/2023,US5TA2300151,803,54.1,"154,592,041","10,814","10,289,612",,"161,998,287","2,825,345","184,2","94,512,843","430,312,931","770,557,253",7,"3,47",11,6,"249,201",38,"1,737,006","2,335","952,946","279,165",,0
Sum 2 Prove,Sum 2 Prove,Lil Baby,1/10/2020,USUG11902886,807,54,"444,934,033","141,088","17,349,295",66,"411,628,542","2,868,681","191,154","26,909,802","238,372,502","7,285,479",63,"65,318",37,14,"145,275",6,"124,269,386","38,557","68,048,035","1,925,871",,1
Lottery (Renegade),Lottery,K CAMP,4/1/2019,USUYG1247701,808,54,"173,526,912","28,272","6,607,554",46,"102,774,513","1,300,907","13,802,112","663,362,447","6,653,535,769","40,852",20,120,46,12,"39,746",2,"41,431,663","171,614",,"1,592,457",,1
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,8/11/2017,USWB11701181,805,54,"1,382,191,196","119,969","51,471,665",66,"1,318,325,154","6,888,667","624,291","24,379,364","260,253,261","1,408,688,467",5,"201,437",652,39,"220,305",64,"611,963,837","298,341",,,,0
Good Days,Good Days,SZA,12/25/2020,USRC12004189,806,54,"1,105,805,922","164,541","62,561,721",77,"295,872,840","2,947,859","534,634","157,378,144","920,329,965","42,909,616",231,"62,354",266,52,"281,696",54,"71,061,814","56,012","8,937,770","2,548,829",,1
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,4/28/2021,USUG12102313,810,53.9,"844,630,935","94,185","54,080,564",74,"269,892,715","2,020,373","71,293","17,326,017","182,430,905","993,825,483",147,"380,249",940,21,"620,249",27,"139,703,215","15,853",,"7,138,195",,0
Youngblood,Youngblood,5 Seconds of Summer,4/12/2018,GBUM71800366,811,53.9,"1,790,579,305","180,069","75,602,805",76,"792,369,989","7,627,895","226,361","15,100,678","81,167,209","225,749,952",148,"298,54",164,33,"444,155",64,"394,705,510","159,091",,"10,854,729",,0
Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/2012,USSM11300080,809,53.9,"2,916,412,507","415,65","149,359,220",85,"1,648,485,745","18,338,729","1,248,637","324,536,571","2,911,383,718","71,486,828",189,"61,334",39,114,"604,895",9,"384,534,750","719,472","2,565,635",,,0
Merayu Tuhan,Merayu Tuhan,Tri Suaka,8/15/2023,QZYFZ2347514,813,53.8,"8,517,888",506,"74,157",43,"71,408,616","296,903","2,200,000","17,612,619","540,360,680","45,212,529",,264,,,,,,,,"20,886",,0
If We Being R��,2093,Yeat,2/16/2024,USUM72401643,812,53.8,"92,517,121","10,195","13,681,051",80,"4,695,846","79,415",,,,,19,584,,10,"1,802,148",3,"167,577","1,061","5,704,007","1,371,705",,1
Can We Kiss Forever?,Can We Kiss Forever?,Kina,8/31/2018,USSM11914456,815,53.7,"634,493,511","89,559","32,092,279",66,"325,005,278","4,709,406","11,714,753","557,393,131","6,459,413,096","12,749,911",48,101,43,36,"344,77",,"34,039,218","29,304",,"8,659,169",,0
Felices los 4,Felices los 4,Maluma,4/21/2017,USSD11700134,814,53.7,"932,817,713","73,487","24,333,265",68,"2,349,558,424","9,318,868","206,344","18,309,676","177,718,441","341,943,201",100,"19,135",122,53,"1,133,769",62,"251,569,141","201,061",,"5,644,479",,0
Mariposita,Mariposita,La Vaca Lola,3/4/2021,QZDA62161038,820,53.6,,,,,"1,562,650,492","3,425,982",7,26,747,,,21,,,,,,,,,,0
Relaci�,Relaci�,Sech,4/2/2020,QM9WM2000013,821,53.6,"468,900,803","62,75","12,074,538",60,"1,137,550,621","7,566,148","2,205,109","110,809,435","1,052,766,873","125,135,301",29,"6,654",31,16,"175,086",2,"117,125,054","20,214",,"1,507,000",,0
ELOVRGA,Elovrga - Single,Alex Favela,8/18/2023,QZNFJ2303104,819,53.6,"333,899,135","24,862","20,963,358",75,"180,084,509","900,128","152,867","82,946,328","704,890,346","246,991,766",14,"2,919",,11,"1,680,860",4,"1,736,093","1,447","168,994","967,858",,1
Party Girl,Party Girl,StaySolidRocky,4/21/2020,USSM12002247,816,53.6,"730,440,576","115,574","16,306,099",67,"199,161,217","2,037,639","6,782,670","391,923,611","3,194,124,847","23,072,079",62,"16,774",90,15,"43,249",10,"8,510,801","72,5",,"1,963,555",,0
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/2016,USUG11601012,817,53.6,"1,749,088,490","193,568","52,373,071",72,"1,489,647,996","7,616,181",,"2,43","36,437","287,132,059",298,"130,551",212,123,"980,454",46,"230,834,970","108,406","7,851,939","17,963,628",,0
Get In With Me,Get In With Me - Single,Bossman Dlow,1/19/2024,USQX92400087,818,53.6,"39,401,314","7,442","18,628,678",,"45,484,183","363,079",,"7,309,300","46,178,900","305,726,555",31,"68,432","2,757",6,"905,095",34,"10,802,316","10,738",,"607,813",,1
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,7/9/2020,USUM72013642,822,53.5,"391,856,304","68,311","11,888,692",58,"1,040,938,222","8,443,453","2,490,398","109,826,716","1,423,789,944","329,599,890",73,"23,516",309,17,"58,326",36,"9,507,064","15,164","510,422","1,570,803",,0
Human,Human,Rag'n'Bone Man,7/21/2016,GBARL1600665,824,53.4,"1,013,083,048","170,367","49,113,191",74,"1,900,272,147","12,302,869","265,475","90,999,656","1,070,508,080","186,882,524",197,"145,288",138,92,"885,612",43,"163,719,567","94,64",,"19,092,054",,0
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,4/12/2024,USSM12403111,823,53.4,"64,193,671","9,077","15,569,468",,"10,688,644","234,397",,,,"65,527,813",31,"2,523",,28,"1,345,845",,"695,51",733,"992,266","349,821",,1
snowfall,Snowfall - Single,��neheart,1/14/2022,QM3DF2191341,828,53.3,"652,949,750","72,344","19,014,919",79,"46,232,838","980,365","3,889,444","1,232,791,337","10,888,392,002",,12,81,,2,"58,283",,"764,755","1,548",,"1,852,974",,0
First Love,First Love - Single,Oscar Maydon,12/7/2023,QZJJE2390614,825,53.3,"230,291,754","11,519","61,076,412",78,"113,183,874","658,962",,,,"2,342,845,627",8,"2,091",,19,"7,394,544",12,"15,400,444","5,339",,"1,277,194",,0
La_Original.mp3,La_Original.mp3,Emilia,11/2/2023,USSD12300584,829,53.3,"184,441,175","17,845","26,300,966",73,"109,532,952","635,058","193,1","40,676,589","529,217,516","483,390,087",55,"34,836","1,32",52,"631,203",32,"39,845",57,,"400,818",,0
OA,OA,Anuel AA,10/13/2023,QZ7B82300076,827,53.3,"178,950,943","29,895","35,946,086",80,"113,884,335","541,097",,,,"687,327,384",23,"10,388",,16,"1,284,111",,"1,197,289",312,"1,211,226","595,427",,1
Pagod��o do Birimbola (Tchubirabi,Pagod��o do Birimbola (Tchubirabi,Os Quebradeiras,11/11/2022,BCO3K2200121,830,53.3,"54,513,960","13,089","4,241,209",52,"183,119","2,667","4,650,900","503,245,598","6,429,494,637",,2,17,,17,"10,926",5,,,,"448,872",,0
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,8/28/2020,KRA402000131,826,53.3,"574,505,748","47,463","17,801,611",58,"1,037,344,011","21,343,581","2,161,485","204,760,050","1,928,057,718","2,185,956,346",87,"50,575",,33,"197,629",45,"17,035,475","44,722",,"1,430,212",,0
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,4/1/2024,USA2P2408081,832,53.2,"75,894,056","2,524","11,857,367",84,"70,842,688","1,388,774",,"14,529,171","59,546,295","48,470,843",9,290,52,5,"295,059",21,"348,004",177,,"113,02",,0
one of wun,One of Wun,Gunna,5/10/2024,USAT22403437,831,53.2,"58,469,975","7,073","108,431,155",82,"4,436,805","59,189",,,,"381,728",,,41,,,,,,,,,1
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,12/1/2023,GBARL2301712,838,53.1,"200,151,839","32,776","133,835,796",82,"11,597,448","140,956",,,,,55,"26,872",,99,"10,753,176",39,"1,710,983",370,,"1,371,435",,0
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2/5/2023,USAT22301358,837,53.1,"377,174,503","100,095","41,254,482",71,,,,,,,,,,10,"1,314,061",8,"196,473","1,346","12,340,277",,,1
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/24/2019,QMJMT1902056,836,53.1,"1,285,518,117","221,749","47,461,150",74,"606,135,388","5,429,579","24,013","9,483,657","72,297,780","42,301,836",119,"73,534",92,33,"200,166",35,"377,326,561","178,35",,"3,638,588",,1
TO THE MOON,TO THE MOON,JNR CHOI,11/5/2021,QZNWW2131527,834,53.1,"274,647,899","96,137","14,188,085",60,"64,640,927","776,716","1,905,324","583,572,613","7,062,611,890","2,031,792,442",22,"161,374","2,397",16,"56,44",8,"139,439,113","21,327","3,308,660","3,786,029",,1
Fancy Like,Country Stuff,Walker Hayes,6/4/2021,USQX92101534,835,53.1,"328,697,441","56,746","6,878,594",66,"174,775,864","1,192,058","796,309","174,360,135","2,074,178,281","774,476,433",53,"289,947","1,089",,,45,"242,860,151","274,465",,"2,520,013",,0
The Color Violet,Alone At Prom,Tory Lanez,12/10/2021,QZTGW2100275,833,53.1,"806,918,358","152,298","19,863,721",79,"105,278,538","1,053,733","40,106","22,514,603","251,896,836","3,583,107",22,"2,409",,2,"22,675",3,"893,116","8,036","16,338,259","2,322,363",,0
S91,S91,KAROL G,7/14/2023,USUG12305255,840,53,"240,161,044","22,27","15,087,485",64,"164,645,464","1,308,408","503,9","16,972,968","257,922,639","438,911,868",40,"24,578",572,19,"2,172,067",4,"19,801,440","3,668",,"614,971",,0
LALISA,LALISA,LISA,9/10/2021,KRA402100098,839,53,"502,655,066","33,286","15,876,032",73,"900,358,198","23,155,453","909,216","188,844,723","1,612,602,199","255,397,268",19,"8,719",134,13,"16,498",25,"2,844,171","4,038",,"1,084,041",,0
Levitating,Future Nostalgia,Dua Lipa,3/27/2020,GBAHT1901299,841,52.9,"946,842,175","145,601","34,376,048",73,"39,855,160","660,222","1,493,355","552,112,407","4,779,580,212","52,496,892",269,"704,419",,73,"1,232,589",107,"85,497,325","33,21",,"3,946,971",,0
RUBICON,G��N,Peso Pluma,6/22/2023,QM7282306229,844,52.9,"246,224,964","23,436","13,507,680",73,"147,798,315","492,303","559,4","20,923,219","278,318,607","37,990,067",22,"1,401",1,1,72,2,"22,544,059","10,243","3,883,201","585,523",,1
Gimme Love,Gimme Love,Sia,9/13/2023,USAT22307798,843,52.9,"105,947,434","11,648","11,690,122",6,"27,707,323","325,476",688,"463,074","12,855,128","1,157,866,791",55,"224,009",172,40,"23,048,308",21,"1,319,886",112,,"1,684,376",,0
Diz A�� Qual �� ,Diz A�� Qual �� ,Mc IG,3/7/2024,BRWMB2400220,842,52.9,"71,944,011","5,329","22,615,957",67,"89,527,069","935,574",,,,"195,273,347",,7,,32,"9,834,159",14,,,,,,1
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,1/19/2024,INS182400204,848,52.8,"114,992,281","3,618","12,001,774",75,"144,797,885","1,123,962",,,,"1,197,864,632",19,555,,,,27,,,,"286,797",,0
Arjan Vailly,"Arjan Vailly (From ""ANIMAL"")",Manan Bhardwaj,11/18/2023,INS182303269,849,52.8,"123,276,250","8,33","3,632,731",,"208,302,578","1,903,455",,,,"336,717,167",6,286,,,,11,,,,"146,801",,0
Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,USUM71201071,847,52.8,"2,270,796,677","263,64","71,470,111",80,"1,738,647,396","12,375,429","261,866","25,465,591","296,361,891","273,191,644",70,"144,439",465,88,"2,680,196",29,"1,087,793,804","553,855","26,345,651","18,161,724",,0
Supalonely,STELLA & STEVE,BENEE,11/15/2019,USUM71922597,845,52.8,"738,407,486","111,662","26,764,629",62,"363,250,356","4,622,840","4,814,901","442,756,956","3,587,729,796","287,718,975",153,"249,364",150,115,"267,828",27,"61,533,676","36,942",,"6,834,164",,1
Lean On (feat. M�� & DJ Sn,Full Circle: The Live Anthology,Major Lazer,11/20/2011,QMUY41500008,846,52.8,"2,080,878,370","242,511","79,506,771",76,"308,933,095","2,370,617","270,919","33,270,068","289,518,843",216,497,"168,731",,250,"2,469,856",96,"649,970,533","356,393","231,244,214","26,993,119",,1
Spin Bout U,Her Loss,Drake,11/4/2022,USUG12208603,856,52.6,"356,685,934","88,034","16,963,292",71,"56,086,730","430,375","76,706","32,337,952","229,937,284","258,434",37,412,93,3,"171,037",37,"48,943,722","16,367","13,209,166","1,574,072",,1
From The Start,From The Start - Single,Laufey,5/11/2023,QM6N22309399,855,52.6,"368,256,958","53,922","25,450,036",73,"69,276,606","1,394,619","224,617","128,900,059","772,554,264","9,78",27,"8,642",319,13,"766,548",89,"855,743","7,084","5,861,183","1,011,059",,0
ZOOM,ZOOM,Jessi,4/13/2022,KRA382204517,850,52.6,"166,161,044","22,288","7,774,873",61,"303,569,838","5,827,005","3,903,605","865,870,535","9,393,168,416","146,065,235",5,"5,68",32,5,"53,217",8,,,,"778,299",,0
Can't Feel My Face,Your Songs 2015,The Weeknd,3/2/2015,USUG11500741,851,52.6,"1,747,534,539","212,829","101,243,254",76,"1,689,190,795","8,927,108","552,005","26,588,465","264,572,676","238,111,307",433,"158,19",474,149,"1,452,991",97,"552,312,888","221,611","4,197,860","14,056,461",,0
Qu�� Onda Per,Qu�� Onda Per,Grupo Firme,3/30/2023,QZDQH2362804,852,52.6,"213,405,904","17,694","13,723,182",70,"401,470,868","961,314",,,,"534,052,740",15,"9,254",,10,"1,737,734",4,"7,260,620","8,781",,"655,854",,0
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,USUM71108090,853,52.6,"436,722,440","107,912","33,797,077",62,"1,193,724,016","7,130,332","652,85","62,596,716","927,660,445","222,701,064",57,"5,186",258,37,"157,088",5,"840,489,680","3,395,379","2,154,867","6,761,782",,0
WHATS POPPIN,WHATS POPPIN,Jack Harlow,1/21/2020,USAT22000162,854,52.6,"819,779,577","161,131","28,874,159",70,"709,454,117","7,190,778","748,49","210,602,527","2,078,817,404","52,474,731",68,"88,99",430,34,"65,099",24,"131,616,894","84,304",,"3,222,518",,1
POR EL CONTRARIO,ESQUINAS,Becky G,9/28/2023,USRC12302408,857,52.5,"131,938,548","5,913","9,167,049",75,"118,669,957","649,548","836,833","46,373,944","589,093,596","353,950,794",10,"7,049",108,22,"6,520,222",11,"13,424,036","7,23",,"684,079",,0
Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,12/21/2023,TCJPY2352543,859,52.4,"1,648,192,461",15,52,,,,,,,,,,,,,,,,,,,1
Rara Vez,Rara Vez,Taiu,2/8/2023,ARUM72300004,860,52.4,"544,165,928","58,646","20,499,657",77,"200,445,038","1,806,923","302,386","150,768,049","1,522,432,243","18,292,788",15,"12,021",281,16,"403,215",14,"26,771",204,,"943,365",,0
That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,4/29/2022,QZEKE2084402,858,52.4,"269,491,606","26,075","16,176,936",66,"746,615,342","15,669,340","304,9","324,925,866","2,432,918,911","300,796,672",12,"11,171",243,5,"37,462",16,"2,505,495","1,683",,"797,357",,0
Espresso,Espresso,Sabrina Carpenter,4/11/2024,USUM72404979,861,52.4,"536,986,458",637,"1,907,453",,,,,,,,29,,,3,"157,807",1,,,"22,436",,,0
Who���s Afraid of Little O,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401037,862,52.3,"166,168,092","5,004","25,607,992",78,"16,423,009","244,859",,"815,5","7,202,700","49,401,469",38,366,54,4,"2,143,866",43,"2,890,486","4,515",,"116,673",,0
THE LONELIEST,THE LONELIEST,M��ne,10/7/2022,ITB002200745,865,52.2,"330,593,989","54,823","16,021,571",67,"175,561,257","2,216,240","296,115","22,320,319","270,169,817","224,863,549",53,"176,13",21,61,"1,631,239",37,"6,555,059","1,735",,"4,266,103",,0
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2/8/2024,USUM72400409,864,52.2,"89,513,100","8,049","60,410,593",75,"38,613,955","433,335",,14,"52,8","547,710,147",51,20,"1,471",9,"1,244,194",42,"20,163,317","8,711","3,187,345","446,156",,1
Nunca Es Suficiente,Nunca Es Suficiente,Los ��ngeles Az,4/20/2018,MX1721600892,863,52.2,"478,494,818","53,736","20,478,756",67,"2,148,970,473","6,055,824","43,294","16,884,958","145,723,405","43,699,996",37,"10,958",24,8,"55,46",10,"239,441,848","95,937",,"3,116,053",,0
MANIKIN (feat. Wifisfuneral),ItWasntEnough - EP,XXXTENTACION,9/8/2023,USQX92304814,868,52.1,"4,306,793","4,668","412,676",,,,,,,,,,,,,,,,"34,328,895","38,034",,1
